code_insee,commune,dep,latitude,longitude
02075,Berthenicourt,,49.7722222,3.3822222
02066,Benay,,49.7602778,3.3055556
02067,Bergues-sur-Sambre,,50.0341667,3.7066667
02068,Berlancourt,,49.7794953,3.7585541
02069,Berlise,,49.6647222,4.1077778
02084,Bézu-le-Guéry,,49.0075000,3.2251400
02086,Bichancourt,,49.5802778,3.2152778
02090,Billy-sur-Ourcq,,49.2186111,3.3025000
02097,Boncourt,,49.6161000,3.9473300
02107,Bourguignon-sous-Coucy,,49.5441000,3.1578700
02111,Brancourt-en-Laonnois,,49.5134000,3.4194800
02114,Brasles,,49.0500000,3.4286111
02116,Braye-en-Thiérache,,49.7794257,3.9588314
02117,Bray-Saint-Christophe,,49.7709000,3.1443800
02130,Bucilly,,49.8777778,4.0936111
02134,Buire,,49.9027778,4.0563889
02135,Buironfosse,,49.9661363,3.8352698
02139,Caillouël-Crépigny,,49.6213101,3.1297928
02140,Camelin,,49.5249394,3.1327038
02142,Castres,,49.8044444,3.2383333
02145,Caumont,,49.6331375,3.1734264
02149,Cerizy,,49.7608333,3.3277778
02155,Chaillevois,,49.5133333,3.5258333
02157,Chambry,,49.5919000,3.6554900
02158,Chamouille,,49.4738537,3.6667010
02159,Champs,,49.5404000,3.2562500
02160,Chaourse,,49.7050000,3.9983333
02163,Charly-sur-Marne,,48.9754438,3.2843296
02165,Charmes,,49.6516667,3.3786111
02168,Châtillon-lès-Sons,,49.7594444,3.6850000
02169,Châtillon-sur-Oise,,49.7910697,3.4195244
02173,Chauny,,49.6148945,3.2189506
02174,Chavignon,,49.4796002,3.5212454
02185,Chézy-en-Orxois,,49.1235000,3.1832200
02187,Chierry,,49.0397222,3.4302778
02188,Chigny,,49.9172502,3.7706317
02191,Chivy-lès-Étouvelles,,49.5278282,3.5850644
02192,Chouy,,49.2066667,3.2488889
02194,Cilly,,49.7383333,3.8327778
02197,Clairfontaine,,49.9824076,3.9897485
02199,Clastres,,49.7468000,3.2312500
02200,Clermont-les-Fermes,,49.6669000,3.9385700
02204,Coingt,,49.7936111,4.0922222
02206,Colonfay,,49.8588889,3.7133333
02207,Commenchon,,49.6406639,3.1615635
02212,Condren,,49.6301206,3.2809076
02214,Contescourt,,49.7933333,3.2316667
